response_time,availability,throughput,successability,reliability,compliance,best_practices,latency,documentation,service_name,wsdl_address,service_classification,service_class_name
310.09,85,2.4,86,53,89,66,107.52,8,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/alignment_consensus.megamerger?wsdl,4,Bronze
309.0,42,4.5,43,83,89,91,7.29,34,Ensembl,http://xml.nig.ac.jp/wsdl/Ensembl.wsdl,3,Silver
295.6,100,1.1,100,67,100,82,45.2,5,vectorstripService,http://www.ebi.ac.uk/soaplab/emboss4/services/edit.vectorstrip.derived?wsdl,2,Gold
274.0,99,22.6,100,73,100,84,15.0,8,codecoloring_service,http://www.debuglab.com/research/codecoloring/codecoloring_service.asmx?wsdl,1,Platinum
787.47,95,4.5,96,58,100,75,84.6,9,CotizadorService,http://www.lacaja.com.ar/wstst/services/Cotizador/wsdl/Cotizador.wsdl,3,Silver
130.2,62,1.9,62,53,67,71,5.53,7,Interop,http://mssoapinterop.org/stkV3/LoggedInteropTyped.wsdl,4,Bronze
257.4,89,13.9,96,73,100,84,11.6,32,splitterService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/splitter.wsdl,1,Platinum
296.57,85,2.7,85,53,89,66,95.09,10,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_repeats.einverted?wsdl,4,Bronze
195.56,100,11.6,100,73,78,80,25.78,95,DictService,http://services.aonaware.com/DictService/DictService.asmx?WSDL,1,Platinum
235.4,87,1.4,95,73,100,84,10.0,41,etandemService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/etandem.wsdl,2,Gold
199.4,99,2.2,100,73,100,84,7.6,38,sigcleaveService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/sigcleave.wsdl,1,Platinum
240.4,88,1.9,96,73,100,84,5.2,35,codcmpService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/codcmp.wsdl,2,Gold
267.4,91,1.5,97,67,100,82,51.0,3,cpgreportService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_cpg_islands.cpgreport.derived?wsdl,3,Silver
310.74,86,3.6,86,53,89,66,93.78,2,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_transcription.tfscan?wsdl,4,Bronze
225.5,73,4.0,74,73,67,84,103.83,41,SolarPlotsWebService,http://solarplots.info/SolarPlotsWebService.asmx?WSDL,3,Silver
334.0,67,4.4,67,67,89,72,1.9,40,OA_CB,http://www.multispeak.org/interface/30j/15_OA_CB.asmx?WSDL,4,Bronze
287.07,94,8.3,98,67,89,58,11.36,5,Public,http://public.bookscan.ws/index.asmx?wsdl,4,Bronze
219.8,98,1.3,100,73,78,84,5.8,35,domainsweepService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/domainsweep.wsdl,2,Gold
135.67,93,2.4,98,58,67,75,21.84,5,DimeInterop,http://www.mssoapinterop.org/stkV3/dime/dime-doc.wsdl,4,Bronze
326.25,95,8.5,98,73,78,80,10.5,3,SdsUserAndHardwareService,http://webservices-tv.sdo.com/SDSUserandhardwareservice.asmx?wsdl,3,Silver
37.0,71,21.3,72,73,78,84,3.0,4,XarayaSoap,http://esavo.esa.int/ws.php?wsdl,3,Silver
237.12,62,4.8,63,78,89,89,5.5,8,sbml,http://www.basis.ncl.ac.uk/sbml.wsdl,3,Silver
68.91,19,4.4,20,60,78,79,5.91,2,AmazonSearchService,http://www.echo.eos.nasa.gov/documents/wsdl/extended-services/AmazonWebServices.wsdl,4,Bronze
147.75,78,13.7,78,73,89,84,2.25,9,SessionService1,http://ja.gotdotnet.com/quickstart/aspplus/samples/services/Intrinsics/VB/SessionService1.asmx?WSDL,3,Silver
285.57,85,3.1,86,53,89,66,71.61,3,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_cpg_islands.newcpgreport?wsdl,4,Bronze
131.25,70,4.8,70,73,89,84,3.63,10,MathService,http://samples.gotdotnet.com/quickstart/aspplus/samples/services/MathService/VB/MathService.asmx?WSDL,3,Silver
92.59,91,17.4,97,72,78,86,1.35,1,PdsSoap,http://www.petrodatasource.com/Soap/PdsSoap.wsdl,2,Gold
232.83,46,4.9,47,78,89,89,11.0,12,SesameService,http://cdsws.u-strasbg.fr/axis/services/Sesame?wsdl,4,Bronze
214.75,57,1.3,58,67,89,72,147.25,84,PlaceFinder,http://arcweb.esri.com/services/v2/PlaceFinder.wsdl,3,Silver
188.0,83,20.9,84,83,89,91,3.0,3,OrderService,http://terra.rixo.net/~jurik/order.wsdl,1,Platinum
464.62,40,3.6,40,78,78,89,16.12,6,ThaiSQL,http://www.thaisql.com/ws/dotnet/webservices.asmx?wsdl,4,Bronze
222.0,73,6.8,74,73,89,80,84.67,9,Service,http://www.strangelights.com/fsharp/AspfDemo/FunctionCalls.asmx?wsdl,3,Silver
186.0,78,11.4,78,67,89,72,37.5,3,AMIWebServiceService,http://www.usatlas.bnl.gov/~dladams/dial/releases/1.20/dial/dial_ws_ami/gsoap/dial_ws_ami.wsdl,4,Bronze
409.0,84,1.0,85,53,89,66,167.0,2,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/phylogeny_molecular_sequence.fdnadist?wsdl,4,Bronze
158.67,93,11.7,98,73,100,84,0.67,61,TMorse,http://web221.area-18.server-home.net/Morse.asmx?WSDL,1,Platinum
127.75,94,4.1,98,73,100,84,1.25,91,XFService,http://www.woodworkingmachineryauction.com/XFService.asmx?wsdl,1,Platinum
40.0,72,19.8,72,73,78,84,3.5,5,XarayaSoap,http://www.lattelenet.lv/modules/soapserver/xaraya.wsdl,3,Silver
169.0,83,21.9,84,83,89,91,37.0,6,VersionService,http://link.caseport.de/axis/services/Version?wsdl,1,Platinum
62.75,56,7.8,56,83,89,91,2.25,10,MulttestService,http://www.vbi.vt.edu/~pathport/services/wsdls/multtest.wsdl,3,Silver
175.6,51,6.4,51,80,100,87,12.4,63,Resources,http://esc.dl.ac.uk/InfoPortal/Resources.wsdl,2,Gold
329.7,85,1.8,86,53,89,66,84.48,6,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/alignment_global.stretcher?wsdl,4,Bronze
134.33,97,6.9,99,73,78,84,8.66,10,GoogleSearchService,http://www-inf.int-evry.fr/cours/WebServices/TP_WS/DotNET/TP_Google/GoogleSearch.wsdl,2,Gold
121.33,90,10.0,97,73,78,84,8.33,5,GoogleSearchService,http://www.dialogica.com.ar/MT3/lib/MT/GoogleSearch.wsdl,3,Silver
703.25,92,3.6,97,73,100,80,265.25,9,dic2,http://www.closerfar.com/dic2.asmx?WSDL,3,Silver
104.75,89,19.4,96,73,78,80,1.5,96,DOTSCurrencyExchange,http://ws2.serviceobjects.net/ce/CurrencyExchange.asmx?WSDL,1,Platinum
99.0,83,17.1,84,73,78,80,4.0,5,UofA,http://amadeus.biosci.arizona.edu/~nirav/batch2.wsdl,3,Silver
531.0,72,8.8,72,83,89,93,7.0,7,SerClsPeticionSOAPTPVPCservice,http://sas-d.sermepa.es/TPV_PC/wsdl/SerClsEntradaTPVPCv3d0_inte.wsdl,3,Silver
1242.11,64,3.3,64,73,89,80,28.67,87,ArticleArchive,http://www.dotnetpro.de/xmlwebservices/articlearchive.asmx?wsdl,3,Silver
146.8,93,1.1,98,73,78,80,1.0,89,SmsService,http://www.gecip.net/SMSWS/sms.asmx?wsdl,1,Platinum
139.5,95,3.2,98,73,78,80,27.5,35,wsDice,http://interlockingapplications.com/gs/wsDice.asmx?wsdl,2,Gold
236.6,94,2.3,98,73,100,84,4.6,36,prophetService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/prophet.wsdl,1,Platinum
338.87,86,2.5,86,53,89,66,97.09,8,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/hmm.ehmmalign?wsdl,4,Bronze
220.6,88,15.0,96,58,100,75,6.2,38,dottupService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/dottup.wsdl,2,Gold
69.71,89,3.5,96,80,100,83,0.42,11,ProductInfo,http://www.vinfo.com/Updates/TGPlugIn/ProductInfo.asmx?wsdl,2,Gold
188.25,88,1.7,96,58,100,75,9.75,4,ChebiWebServiceService,http://www.ebi.ac.uk/webservices/chebi/webservice?wsdl,3,Silver
238.04,48,7.1,49,67,89,77,61.93,40,WebSyndicationService,http://www.foodcandy.com/WebSyndicationService.asmx?WSDL,4,Bronze
153.79,86,10.1,95,67,100,82,31.79,57,HR-XML_x0020_Validation_x0020__x0028_2004-08_x0020_release_x0029_,http://testbed.hr-xml.org/validate200408.asmx?WSDL&v=x,1,Platinum
525.5,94,3.4,94,67,67,84,5.6,95,NetworkNode,http://www.exchangenetwork.net/schema/v1.0/node.wsdl,2,Gold
303.65,85,3.4,85,53,89,66,86.35,7,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_gene_finding.wobble?wsdl,4,Bronze
168.5,88,5.0,96,60,89,69,1.0,38,DataGeneration,http://ws.strikeiron.com/DataGeneration?WSDL,3,Silver
368.0,90,12.2,97,60,78,74,14.2,10,ConfigEditingService,http://www.rendelmann.info/blog/ConfigEditingService.asmx?wsdl,3,Silver
109.5,91,24.9,97,83,89,91,2.0,9,Overloaded,http://mssoapinterop.org/stk/wsdl/overloaded.wsdl,1,Platinum
221.0,18,4.3,18,60,78,79,11.35,2,AmazonSearchService,http://webservices.amazon.com/schemas3/AmazonWebServices.wsdl,4,Bronze
129.2,86,3.5,95,67,100,82,1.4,90,XWebFAQs,http://ws.xwebservices.com/XWebFAQs/XWebFAQs.asmx?wsdl,1,Platinum
240.25,78,9.1,79,73,89,80,2.25,10,Rss_Upload,http://www.ras.ru/RSS_upload.asmx?WSDL,3,Silver
123.92,97,15.6,99,73,100,80,15.5,1,EditService,http://www.flexwiki.com/editservice.asmx?WSDL,2,Gold
144.83,91,4.0,92,67,78,66,6.5,4,DimeInterop,http://mssoapinterop.org/stkV3/dime/dime-rpc.wsdl,4,Bronze
158.0,99,25.3,100,60,89,69,26.0,11,XMLPortalService,http://www.lexel.com/EnvGXLogin/html/XMLPortal.html,2,Gold
123.0,78,10.4,78,73,89,84,3.5,7,SessionService1,http://samples.gotdotnet.com/quickstart/aspplus/samples/services/Intrinsics/VB/SessionService1.asmx?WSDL,3,Silver
634.4,92,2.8,97,80,100,87,41.2,34,IMSIVORY,http://gtdemo.gtsoftware.com:8080/soap/axel/soap/imssample/imsIvory?wsdl,1,Platinum
114.0,83,24.1,84,73,89,84,4.0,7,Import1,http://mssoapinterop.org/asmx/WSDL/import1.wsdl,2,Gold
113.75,100,1.0,100,73,78,84,6.75,38,Sample,http://startvbdotnet.com/web/sample2.asmx?wsdl,2,Gold
221.53,26,4.7,26,67,100,77,170.53,10,UserManagement,http://smithbucklin.articulateglobal.com/Portal/services/UserManagement.asmx?wsdl,4,Bronze
193.67,99,12.3,100,73,100,80,1.23,32,NAF,http://www.naf.no/loginservice/main.asmx?WSDL,1,Platinum
80.0,99,36.3,100,80,100,87,13.0,3,Service1,http://atisdemo.mitretek.org/atisdemows/getatisdata.asmx?wsdl,1,Platinum
229.78,16,11.6,17,72,78,86,3.19,58,Guthrie,http://www-iepm.slac.stanford.edu/tools/soap/wsdl/old/guthrie-old.wsdl,4,Bronze
485.0,63,7.8,63,67,78,72,4.67,12,CountryServiceService,http://www.arikan.at/axis/services/CountryService?wsdl,4,Bronze
282.6,89,2.3,96,73,100,84,37.8,9,vrnaplotService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_rna_folding.vrnaplot.derived?wsdl,2,Gold
413.33,100,12.0,100,78,78,89,27.0,7,tbapi,http://www.lokasoft.nl/uk/tbapi.wsdl,2,Gold
324.5,72,14.6,72,78,89,89,124.5,1,GetSomeValueService,http://oscar.snapps.com/portal.nsf/MyService?WSDL,3,Silver
252.4,95,1.8,98,58,100,75,7.6,34,plotconService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/plotcon.wsdl,3,Silver
136.25,78,3.2,79,73,78,84,19.25,11,WebServices,http://www.garlen.net/WebServices.asmx?wsdl,3,Silver
482.0,85,16.0,95,73,100,84,1.0,2,Compound2,http://www.mssoapinterop.org/asmx/WSDL/compound2.wsdl,2,Gold
270.2,86,4.3,95,73,100,84,44.8,6,ehmmfetchService,http://www.ebi.ac.uk/soaplab/emboss4/services/hmm.ehmmfetch.derived?wsdl,2,Gold
190.0,95,1.1,98,73,100,84,6.0,38,fuzznucService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/fuzznuc.wsdl,1,Platinum
71.75,59,1.2,60,67,100,77,4.5,38,FaxMessagingService,http://www.mail-archive.com/wsif-user@ws.apache.org/msg00772/FaxMessagingService.wsdl,4,Bronze
678.5,86,1.7,87,67,78,82,2.5,10,VSOiService,http://vso.nascom.nasa.gov/API/sdacVSOi_strict.wsdl,4,Bronze
481.0,83,18.5,84,78,89,89,4.0,6,ImgCount,http://front-3.cust01.visi.com/isearch-m3/imgcount.php?wsdl,2,Gold
265.4,99,1.5,100,67,100,82,35.2,11,etandemService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_repeats.etandem.derived?wsdl,2,Gold
100.33,87,18.6,95,73,100,80,0.66,93,AIMSAddressWebService,http://ims.jocogov.org/webservices/AddressWebService/AddressWebService.asmx?wsdl,1,Platinum
469.0,98,13.1,100,67,78,77,0.67,93,XigniteArchive,http://www.xignite.com/xArchive.asmx?wsdl,1,Platinum
47.56,62,7.5,63,67,89,72,1.81,38,OA_DGV,http://www.multispeak.org/interface/30j/18_OA_DGV.asmx?wsdl,4,Bronze
842.33,93,7.0,98,73,100,84,109.66,77,CBRFSearchSystem,http://www.cbr.ru/CBRFQuery/query.asmx?WSDL,1,Platinum
102.62,91,15.3,97,67,78,82,0.93,91,DOTSPackageTracking,http://trial.serviceobjects.com/pt/PackTrack.asmx?wsdl,1,Platinum
320.48,86,1.2,86,53,89,66,125.18,10,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/phylogeny_tree_drawing.fdrawgram?wsdl,4,Bronze
2297.64,98,1.6,98,73,67,84,712.55,9,interopLab,http://tclsoap.sourceforge.net/WSDL/silab.wsdl,4,Bronze
150.17,91,18.1,92,73,100,80,4.84,65,AddressManager,http://www.arcwebservices.com/services/v2006/AddressManager.wsdl,1,Platinum
1112.25,78,2.8,79,73,78,84,75.25,17,stock,http://www.wopos.com/webservice/Stock.asmx?wsdl,4,Bronze
292.7,85,1.9,86,53,89,66,85.83,4,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/protein_3d_structure.sigscan?wsdl,4,Bronze
164.5,72,12.5,72,73,100,84,5.5,5,timeDateEmail,http://www.vbtrain.net/samplewebprojects/Web%20Interaction%20Sample/timeDateEmail.asmx?wsdl,3,Silver
123.45,86,7.2,87,67,100,77,5.8,7,AWSECommerceService,http://webservices.amazon.com/AWSECommerceService/JP/AWSECommerceService.wsdl,3,Silver
73.5,87,23.8,95,73,89,62,18.75,95,ImageService,http://leadtools.net/Services/ImageService/ImageService.asmx?wsdl,1,Platinum
113.0,83,22.3,84,83,89,91,4.0,9,EmptySA,http://mssoapinterop.org/asmx/WSDL/emptysa.wsdl,1,Platinum
115.0,83,22.8,84,73,100,84,4.0,11,AreaService,http://www.eclipse.org/webtools/jst/components/ws/0.7/tutorials/TopDownWebService/srcfiles/AreaService.wsdl,2,Gold
230.8,88,1.6,96,73,100,84,8.2,34,primersearchService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/primersearch.wsdl,2,Gold
117.67,94,3.0,95,78,33,89,7.84,4,Interop,http://mssoapinterop.org/stk/Interop1999.wsdl,4,Bronze
49.5,85,1.8,95,67,78,72,1.5,34,DataGeneration,http://www.strikeiron.com/WebServices/datageneration.asmx?WSDL,3,Silver
181.5,71,1.5,72,67,89,72,9.0,60,AccountService,http://www.esendex.com/secure/messenger/soap/AccountService.asmx?wsdl,3,Silver
170.0,91,28.6,97,80,100,87,1.0,3,SerClsWSConsultaService,http://sas-d.sermepa.es/TPV_PC/wsdl/SerClsConsultasSOAPv2d0.wsdl,1,Platinum
314.25,67,5.8,67,73,67,84,39.75,31,News,http://www.meetandplay.com/api/News.asmx?WSDL,4,Bronze
461.5,39,5.1,40,80,89,83,331.88,62,TCrossPlatformSoapService,http://www.ebob42.com/cgi-bin/CrossPlatformSoapService.asmx?wsdl,4,Bronze
850.92,88,3.9,88,67,78,77,476.42,90,XigniteMaster,http://services.xignite.com/xMaster.asmx?wsdl,2,Gold
1238.17,47,3.4,47,72,78,86,43.45,64,MAGGIE,http://www-iepm.slac.stanford.edu/tools/soap/wsdl/old/profile_07.wsdl,4,Bronze
315.0,91,12.7,97,73,100,84,10.6,34,vectorstripService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/vectorstrip.wsdl,1,Platinum
307.3,17,3.8,17,42,89,62,20.23,4,GatewayWSService,http://212.166.209.24:80/ConnectorGateway/services/GatewayWS?wsdl,4,Bronze
161.0,83,25.6,84,78,89,89,4.0,5,IDutchservice,http://ebob42.com/cgi-bin/NumberToWordsInDutch.exe/wsdl/IDutch,1,Platinum
84.0,94,21.6,98,50,89,77,1.0,4,GtsInterfacesService,http://www.myyellow.com/dynamic/services/content/ecommerce/etools/webservices/gtsimplbol.wsdl,3,Silver
166.0,86,25.7,95,73,89,62,100.0,89,NRA_x0020_ILA_x0020_News_x0020_and_x0020_Updates_x0020_Syndication,http://www.nraila.org/Services/HuntingAndConservation.asmx?WSDL,1,Platinum
374.6,51,4.3,51,73,78,84,24.2,6,POCP SOAP Interface,http://pocp.redspider.co.nz/soap.php?wsdl,4,Bronze
250.0,92,13.8,97,73,100,84,9.4,36,est2genomeService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/est2genome.wsdl,1,Platinum
96.5,86,13.3,86,73,78,84,3.0,37,VideoGamesFinder,http://www.xmlme.com/WSVideoGames.asmx?WSDL,2,Gold
102.5,96,3.2,99,80,78,87,42.5,95,ccydemo,http://www.webcontinuum.net/webservices/ccydemo.wsdl,1,Platinum
230.2,89,14.6,96,73,100,84,11.2,33,coderetService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/coderet.wsdl,1,Platinum
208.6,67,4.0,67,73,89,75,56.1,4,Service1,http://ceres.aifb.uni-karlsruhe.de/AI2service/Service1.asmx?wsdl,4,Bronze
1189.5,72,7.2,72,78,89,89,2.0,5,UCDResolverService,http://cdsws.u-strasbg.fr/axis/services/UCDResolver?wsdl,3,Silver
148.56,99,2.3,100,73,89,75,98.67,9,BtblastService,http://staff.vbi.vt.edu/pathport/services/wsdls/pathport/btblast.wsdl,3,Silver
275.87,85,6.5,86,53,89,66,74.44,10,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/phylogeny_discrete_characters.ffactor?wsdl,4,Bronze
193.6,67,3.4,67,73,89,84,23.4,40,NWs,http://www.piccadillyhotel.it/NWs.asmx?wsdl,3,Silver
1422.0,90,3.6,90,73,78,84,19.0,11,WSBlastpgpService,http://www.ebi.ac.uk/Tools/webservices/wsdl/WSBlastpgp.wsdl,3,Silver
222.4,94,1.7,98,73,100,84,5.6,41,maskfeatService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/maskfeat.wsdl,1,Platinum
244.0,86,26.7,95,83,100,91,2.0,9,HelloOpenSOAP,http://www.opensoap.jp/package/samples/Hello/HelloService.wsdl,1,Platinum
276.0,88,1.6,96,67,100,82,32.8,4,stretcherService,http://www.ebi.ac.uk/soaplab/emboss4/services/alignment_global.stretcher.derived?wsdl,3,Silver
668.75,79,2.6,79,73,67,80,35.75,5,Reed_x0020_Affiliates_x0020_WebService,http://www.reed.co.uk/Affiliates/affiliates.asmx?WSDL,4,Bronze
878.5,67,4.0,68,73,78,87,5.75,10,SumibiConvertService,http://www.sumibi.org/sumibi/Sumibi_stable.wsdl,4,Bronze
159.29,41,6.6,41,60,78,69,44.61,66,SimpleTest,http://mssoapinterop.org/asmx/simple.asmx?WSDL,4,Bronze
445.0,89,12.1,96,83,89,91,1.5,10,BulportFinanceService,http://services.bulport.com/finance/finance.wsdl,1,Platinum
188.67,68,0.6,68,67,89,72,60.0,79,RouteFinder,http://arcweb.esri.com/services/v2/RouteFinder.wsdl,3,Silver
315.0,100,26.2,100,83,89,91,5.0,6,JgluService,http://cdsws.u-strasbg.fr/axis/services/Jglu?wsdl,1,Platinum
246.43,85,9.7,95,53,89,66,39.73,8,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/acd.acdvalid?wsdl,4,Bronze
123.0,96,14.6,99,83,89,91,68.5,6,UniquesubsService,http://www.vbi.vt.edu/~pathport/services/wsdls/uniquesubs.wsdl,1,Platinum
241.2,99,0.9,100,58,100,75,7.8,40,pepwindowallService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/pepwindowall.wsdl,2,Gold
273.6,88,13.0,96,73,100,84,7.4,32,restoverService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/restover.wsdl,1,Platinum
174.5,99,2.5,100,80,78,87,1.0,96,TNM_Elevation_Service,http://gisdata.usgs.net/XmlWebServices/TNM_Elevation_service.asmx?WSDL,1,Platinum
174.1,55,10.2,55,67,89,77,28.03,36,WebBlogService,http://www.foodcandy.com/WebBlogService.asmx?WSDL,4,Bronze
172.67,87,6.8,95,73,78,84,14.0,8,GoogleSearchService,http://www.brics.dk/~amoeller/WWW/webservices/GoogleSearch.wsdl,3,Silver
277.78,86,3.2,86,53,89,66,68.87,7,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/edit.descseq?wsdl,4,Bronze
374.2,93,1.0,98,67,100,82,60.6,3,vrnaalifoldpfService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_rna_folding.vrnaalifoldpf.derived?wsdl,3,Silver
148.06,52,7.8,53,67,89,77,88.18,94,Location,http://www.annotatedearth.com/AELocationService/location.asmx?wsdl,3,Silver
319.83,84,1.1,84,53,89,66,108.96,6,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/alignment_local.supermatcher?wsdl,4,Bronze
207.88,92,6.4,93,33,78,59,9.67,3,SABLEArchiRPCService,http://ems.eurostep.fi:8080/SABLE/services/SABLE.DAPI.ARCHI.RPC?wsdl,4,Bronze
536.25,56,7.1,56,83,89,91,3.0,2,PathwayService,http://pathport.vbi.vt.edu/services/wsdls/pathway.wsdl,3,Silver
277.96,85,3.8,86,53,89,66,84.39,10,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/edit.splitter?wsdl,4,Bronze
211.57,89,4.0,96,83,78,91,15.93,7,eUtilsService,http://www.ncbi.nlm.nih.gov/entrez/eutils/soap/eutils.wsdl,2,Gold
55.5,81,19.1,82,73,100,80,4.75,3,AmazonHistoricalPricing,http://ahp.amazonaws.com/AmazonHistoricalPricing/2005-10-19/AmazonHistoricalPricing.wsdl,2,Gold
82.0,83,35.9,84,73,78,75,2.0,3,WarrantyClaimWebService,http://www.walkermowers.com/ws/opei/WarrantyClaimService4.wsdl,2,Gold
166.0,83,28.1,84,83,89,91,6.0,62,HelloService,http://homepages.feis.herts.ac.uk/~bf8au/wsdl/HelloService.wsdl,1,Platinum
378.29,96,9.6,99,80,78,83,8.58,91,VilibidVilibor,http://webservices.lb.lt/VilibidVilibor/VilibidVilibor.asmx?wsdl,1,Platinum
214.0,93,1.3,98,58,100,75,8.6,41,pepwindowallService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/pepwindowall.wsdl,2,Gold
251.8,100,2.5,100,73,100,84,46.0,7,vrnadistanceService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_rna_folding.vrnadistance.derived?wsdl,2,Gold
397.0,56,5.5,56,67,78,85,50.0,4,IAddress3service,http://webservices.hanft.de/wsdl/IAddress3,4,Bronze
132.5,95,1.8,98,60,100,74,48.0,10,ElectronicDataAssistance,http://ws.strikeiron.com/RealEDA/RealEDA?WSDL,3,Silver
251.0,86,2.6,87,73,78,80,143.0,40,CupScores,http://scores.serviceobjects.com/CupScores.asmx?WSDL,3,Silver
